conversation_id_str,full_text_comments,full_text_comments_preprocessed
2.000007837712634e+18,@ARSIPAJA Saya tidak membenci president.. Saya hanya tidak suka kesalahan yang tidak di akui ditutup2i tidak diperbaiki lebih parah lagi kalo bersekongkol membunuh nilai moral dan norma.. Jgn lagi terjadi seperti relawan pembela presiden sblmny menjadi buta dengan nilai kebenaran..,arsipaja tidak membenci president tidak kesalahan tidak akui ditutupi tidak diperbaiki parah bersekongkol membunuh nilai moral norma jgn relawan pembela presiden sblmny buta nilai kebenaran
2.000007837712634e+18,@ARSIPAJA @BP_Kaskus gak heran kompas sejak jaman mulyono,arsipaja bp_kaskus gak heran kompas jaman mulyono
2.000007837712634e+18,@ARSIPAJA Opini isinya jilatin penguasa ada ada aja jaya suprana bukannya ngurusin muri,arsipaja opini isinya jilatin penguasa jaya suprana ngurusin muri
2.000007837712634e+18,@ARSIPAJA Ikan busuk dari apanyaa ??? . Kepala nyaa,arsipaja ikan busuk apanyaa kepala nyaa
2.000007837712634e+18,@ARSIPAJA Pendukungnya udah mulai pada gila (emang ga pernah waras dari awal si) udah jelas banget kayanya yg dibenci itu rezimnya bukan personalnya,arsipaja pendukungnya gila emang waras kayanya dibenci rezimnya bukan personalnya
2.000007837712634e+18,@ARSIPAJA Njir kompas memelihara penulis berita kek gini?,arsipaja njir kompas memelihara penulis berita kek gini
2.000007837712634e+18,@ARSIPAJA Tunjangan Akhir Tahun dikucurkan ada penjahat butuh polesan tebal https://t.co/W3nXPrHf0T,arsipaja tunjangan dikucurkan penjahat butuh polesan tebal
2.000007837712634e+18,@ARSIPAJA Apalah arti kunjungan kalo bantuan lambat? Ada yg 12 hari blm dpt bantuan skrg 3 daerah mengibarkan bendera putih meminta bantuan internasional krn lambatnya pemerintah ada yg berjalan puluhan kilometer demi mendapatkan beras utk keluarganya,arsipaja apalah arti kunjungan bantuan lambat blm dpt bantuan skrg daerah mengibarkan bendera putih bantuan internasional krn lambatnya pemerintah berjalan puluhan kilometer beras utk keluarganya
2.000007837712634e+18,@ARSIPAJA Dia pergi settingan balik ke kondisi asli ,arsipaja pergi settingan kondisi asli
2.000007837712634e+18,@ARSIPAJA @kompascom udah jadi penyepong biji satu,arsipaja kompascom penyepong biji
2.000007837712634e+18,@ARSIPAJA Amankan tautannya. Bakal jadi artefak bersejarah ini wkwk,arsipaja amankan tautannya artefak bersejarah wkwk
1.999570101452837e+18,. @SpeedyMorman doesn t chase viral moments; he creates them. Calm precise and surgical he makes space for honesty in an era allergic to nuance. Whether he s sitting with rappers or whatever career Kim K is currently pursuing he brings the same patience and the confidence of https://t.co/yF7l5V9piM,speedymorman doesn chase viral moments creates them calm precise and surgical makes space for honesty era allergic nuance whether sitting with rappers whatever career kim currently pursuing brings the same patience and the confidence
2.000007837712634e+18,@ARSIPAJA ada kaitannya kah dengan jurnalis kompas yg disuruh hapus liputan bencana kemarin?? wkwk narasi nya jadi jilat total maju terus sambil koprol bareng gelondongan kayu,arsipaja kaitannya jurnalis kompas disuruh hapus liputan bencana kemarin wkwk narasi jilat total maju koprol bareng gelondongan kayu
2.000007837712634e+18,@ARSIPAJA Yang belum membaca sebaiknya dibaca dulu artikelnya. https://t.co/1EYsR1pT32,arsipaja belum membaca dibaca artikelnya
2.000007837712634e+18,@ARSIPAJA Itu kualitas jurnalisnya atau aturan mainnya emang hrs yg bagus aja?,arsipaja kualitas jurnalisnya aturan mainnya emang hrs bagus
2.000007837712634e+18,@ARSIPAJA @kompascom @KompasTV penyepong penguasa,arsipaja kompascom kompastv penyepong penguasa
2.000007837712634e+18,@ARSIPAJA hmm https://t.co/M0sXxjEAYO,arsipaja hmm
2.000007837712634e+18,@ARSIPAJA Kemaren sekilas liat headline berita yg bilang reporter komps dipaksa hapus bukti foto dan video ttg kerusakan bencana di aceh wkwkwk,arsipaja kemaren sekilas headline berita bilang reporter komps dipaksa hapus bukti foto video ttg kerusakan bencana aceh wkwkwk
2.000007837712634e+18,@ARSIPAJA Haha.. KOMPAS ga heran. Berani spill siapa aja perusahaan pembabatan hutan yg menjadi penyebab hutan rusak gak? Gw jamin ga berani. ,arsipaja haha kompas heran berani spill perusahaan pembabatan hutan penyebab hutan rusak gak jamin berani
